Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
79,Intel,Technology,54228.0,-14.0,124800.0,"Santa Clara, California"
80,TJX,Retail,49936.0,2.9,329000.0,"Framingham, Massachusetts"
81,Prudential Financial,Financials,53979.0,-10.1,40366.0,"Newark, New Jersey"
82,HP,Technology,53718.0,-14.5,58000.0,"Palo Alto, California"
83,United Airlines,Airline,53717.0,19.5,103300.0,"Chicago, Illinois"
84,Performance Food Group,Food processing,53355.0,13.1,34825.0,"Richmond, Virginia"
85,Tyson Foods,Food processing,52788.0,-0.8,139000.0,"Springdale, Arkansas"
86,American Airlines,Airline,52788.0,7.8,132100.0,"Fort Worth, Texas"
87,Liberty Mutual,Insurance,52612.0,5.3,45000.0,"Boston, Massachusetts"
88,Nike,Apparel,51217.0,9.6,83700.0,"Beaverton, Oregon"
89,Oracle Corporation,Technology,49954.0,17.7,164000.0,"Austin, Texas"
90,Enterprise Products,Petroleum industry,49715.0,-14.6,7500.0,"Houston, Texas"
91,Capital One Financial,Financials,49484.0,29.0,51987.0,"Richmond, Virginia"
92,Plains All American Pipeline,Petroleum industry,48712.0,-15.1,4200.0,"Houston, Texas"
93,World Kinect Corporation,Energy trading,47711.0,-19.2,5289.0,"Doral, Florida"
94,AIG,Insurance,46802.0,-17.1,25200.0,"New York City, New York"
95,Coca-Cola,Beverage,45754.0,6.4,79100.0,"Atlanta, Georgia"
96,TIAA,Financials,45735.0,11.8,16023.0,"New York City, New York"
97,CHS,Agriculture cooperative,45590.0,-4.6,10609.0,"Inver Grove Heights, Minnesota"
98,Bristol-Myers Squibb,Pharmaceutical industry,45006.0,-2.5,34100.0,"New York City, New York"
99,Dow Chemical Company,Chemical industry,44622.0,-21.6,35900.0,"Midland, Michigan"
100,Best Buy,Retail,43452.0,-6.1,85000.0,"Richfield, Minnesota"
