Job Title,Company Name,Location,Status,Skills Requirements
Senior SOC Consultant,Fixed Solutions -,"Sheraton, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 4 - 7 Yrs of Exp · IT/Software Development · SOC · SIEM · SOAR · Mitre Att&ck Assessment · ISO 27001 · CIS Controls · NIST · PowerShell · Python
Odoo Developer,Flint International -,"Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · Git · Agile · JavaScript · jQuery · Linux · PostgreSQL
Sr Data Engineer,SANTECHTURE  -,"Sheraton, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Medical/Healthcare · Analyst/Research · Big Data · Engineering · Information Technology (IT) · Software Engineering · Troubleshooting · SQL · AWS
AI Engineer (Custom AI Solutions & GPT Tools) – On-Site,Stellar Charter Nexus -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · APIs · Computer Science · Development · Engineering · Frameworks · Information Technology (IT)
Freelance Django Developer,AlienCode -,"Sidon, Lebanon ",Freelance / ProjectRemote,Freelance / ProjectRemoteEntry Level · IT/Software Development · APIs · Cloud · Django · ORM · PostgreSQL · Python · REST · Rest APIs · Computer Science
Mid-Backend Developer,Nexus Analytica -,"Shorouk City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · Python · Software Engineering · Software Development · developer
Manager Data Engineering,SANTECHTURE  -,"Sheraton, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridManager · 5 - 8 Yrs of Exp · IT/Software Development · Information Technology (IT) · Design · Computer Science · Engineering · Software · Database SQL Server · Communication · Java · Management
Odoo Developer - Full Time,Aldabboos Group     -,"Sheraton, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Odoo Development · Odoo · Python · Mobile Development · REST · Software · Information Technology (IT)
Midlevel Odoo Developer,Algoriza -,"6th of October, Giza, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Odoo Developer · Python · developer · Computer Science
Agentic AI Developer,Genesis A -,"Sheraton, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3+ Yrs of Exp · IT/Software Development · AI · Computer Science · Development · English · Communication · Python · Agentic · Business Development · Communication skills
Performance Data Manager,MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Human Resources · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Power BI · RPA · Tableau · QlikView · Automation
Senior Technical Operations Engineer,Al Ahly Momkn for e-payment -,"Maadi, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · technical · Operations · Technical Operations · Technical Support · engineer
Senior Odoo Developer,Elsewedy industries -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Odoo · Odoo Development · Programming · Software Development · Software Engineering · SQL · Information Technology (IT)
Backend Developer,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · backend · Computer Science · CSS · Docker · Git · HTML · Information Technology (IT)
Sr.Platform SecDevOps Engineer,U X E SECURITY SOLUTIONS L.L.C -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · software development · software · aws · python
Machine Learning Engineer,Mozn -,"Riyadh, Saudi Arabia ",Full Time,Full TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Machine Learning · Computer Science · Information Technology (IT) · Python · Software Engineering · Computer Engineering · Engineering
Full Time Coding Instructor in Alexandria for kids 7-17 yrs,CodeTreps -,"Mahta Alraml, Alexandria, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Teaching · instructor · Schools · Education · MIT AppInventor · Code.org · Scratch
Data Governance Consultant,Global Technology Solutions Ltd. -,"Dubai, United Arab Emirates ",Freelance / Project,Freelance / ProjectExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · SAP · Telecommunication · Computer Hardware · Microsoft Office
Security Intelligence Analyst (UAE),ACK3 -,"Dubai, United Arab Emirates ",Full Time,Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Business Analysis · Analysis · BI · Python
Cloud Platforms Engineer - Co-Op Program,moneymoon -,"Riyadh, Saudi Arabia ",Full Time,Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Cloud · Engineering · Software Engineering · AWS · Computer Engineering
Senior Full Stack Developer,A-eye tech -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · developer · Full Stack
Odoo Team Leader,Naguib Selim -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteManager · 3 - 6 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · ERP System · Communication · Leadership · Management · Performance · Skills · team leader
"BI DWH Reporting Specialist ""Outsource""",Efada Technology -,"6th of October, Giza, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 2 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · business · Power BI · BI · Computer Engineering · Information Technology (IT) · Oracle Database · Data Warehousing · SAP
ERP Implementation Specialist,LavaLoon -,"Nasr City, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Applications · business · Business Processes · Communication · Computer Science · English · Implementation · ERP
Odoo / ERP Developer with Mobile & Data Expertise,iLock -,"Mit Ghamr, Dakahlia, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 17 Yrs of Exp · IT/Software Development · Analyst/Research · APIs · API · ERP · flutter · Odoo · CRM · Android
Senior ECM Laserfiche Engineer,Tafeel -,"Riyadh, Saudi Arabia ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Computer Science · JavaScript · Programming · Engineering · Communication skills · Software Development
Full-Stack PHP Developer (CodeIgniter),Confidential -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · PHP (CodeIgniter framework). · Full Stack · JavaScript · MySQL · CSS · HTML · Software Development · Xml Web Services · Angular
Software Tester,Sky logistics  -,"Sheikh Zayed, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Software Development · Software Engineering · Software Testing · Testing · Computer Science
Web Development Internship,Osolutions -,"Nasr City, Cairo, Egypt ",InternshipOn-site,InternshipOn-siteEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · PHP Web Development · PHP · PHP Programming · PHP Frameworks · PHP Development · Computer Science · Software Development · Web Development · Back-End Development
AI Engineering Manager,Link Development -,"Cairo, Egypt ",Full TimeHybrid,Full TimeHybridManager · 5+ Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Computer Science · BI · Software Engineering · SQL · Software Development · Power BI · SSRS
Linux Enablement - Software Engineering Manager,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · linux · computer engineering · python · postgresql · software engineering
Full Stack Developer,Tripnas -,"Tebin, Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack · React · JavaScript · MongoDB · Node.js · Angular · Computer Science · Information Technology (IT)
Senior Full stack Java developer,MTS-IT -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · Full Stack · Information Technology (IT) · Software Development · CSS · spring Framework · Java SE
AI Engineer,ProVision Group -,"Maadi, Cairo, Egypt ",Full TimePart TimeFreelance / ProjectHybrid,Full TimePart TimeFreelance / ProjectHybridExperienced · 2 - 7 Yrs of Exp · IT/Software Development · AI · Computer Vision · Data Science · Machine Learning
IT Specialist,ILUJIS     -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IT · Microsoft Office · Networking · Software · Technical Support · Troubleshooting · Computer Science · Customer Service
Full-Stack Developer,Confidential -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Angular · Computer Science · CSS · HTML · SQL · Information Technology (IT) · JavaScript
Senior GIS Technician,Citylogix ME   -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Arc GIS · GIS · QGIS
Network and Cybersecurity Engineer,Ovo Egypt -,"6th of October, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CCNA · Cisco · CCNP · DNS · Engineering · Information Technology (IT) · Network · Networking
Full Stack Developer,Confidential -,"Santa Clara, United States ",Part TimeRemote,Part TimeRemoteExperienced · 8 - 12 Yrs of Exp · IT/Software Development · JavaScript · Full Stack · Angular · Computer Science · CSS · HTML · Information Technology (IT) · Java · jQuery
GIS Analyst,Geotech3D -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Information Technology (IT) · Computer Science · GIS · BI
SOC supervisor,BDO Esnad -,"Mohandessin, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Security · Information Security
Software Technical Recruiter Needed,Trio -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Human Resources (HR) · Communication · Interviewing · Management · Recruitment · Software · technical · Software Engineering · Sourcing
Application Support Engineer,Etisal EG -,"New Cairo, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Automation · Communication · computer · Computer Science · Customer Support · Engineering · Information technology
Backend Developer,Wills business  -,"Nasr City, Cairo, Egypt ",Full TimeHybrid,"Full TimeHybridEntry Level · 0 - 3 Yrs of Exp · IT/Software Development · ● Experience setting up or using CI/CD pipelines (especially GitHub Actions). · ● Familiarity with containerization (e.g., Docker). · ● Experience with API testing tools (e.g., Postman, SoapUI)."
Software Developer,RISEUP (Endemag for Administrative Skills Development) -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Amazon AWS · Software Development · Software Engineering · React.js · Node.js · Typescript · JavaScript · Computer Science
Java Developer,Efada Technology -,"6th of October, Giza, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Software Development · Software Engineering · Spring · Back-End Development · Spring Boot
ICT Teacher, Egypt Education Platform -,"Riyadh, Saudi Arabia ",Full TimeOn-site,Full TimeOn-siteExperienced · 2 - 10 Yrs of Exp · Education/Teaching · Computer Science · ICT · Education · Information Technology (IT)
Senior BIM Electrical Low Current Engineer,CSI -,"Heliopolis, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 6 - 9 Yrs of Exp · Engineering - Mechanical/Electrical · Electrical · BIM · Electrical Engineering · electrical power engineering · Low Current · Power · Revit · Engineering · Electrical power
DevOps,Confidential -,"Alexandria, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · males_only · Engineering - Telecom/Technology · DevOps · Engineering
Full Stack Developer,3rcontracting -,"Maadi, Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Web Development · Software Engineering
AI Engineer,AgChat -,"Cairo, Egypt ",Full TimeRemote,Full TimeRemoteEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · computer science · AI
Odoo Developer,ISD -,"Heliopolis, Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Docker · Microsoft Office · API · XML · HTML · CSS · Git
Application Support Engineer,etisal for advanced industries  -,"6th of October, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · English · Firewall · Engineering · Information Technology (IT) · Technical Support
Power BI Developer with C# (Reporting Team),Akvelon -,"Cairo, Egypt ",Full TimeHybrid,Full TimeHybridExperienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft Power BI · Power BI · .Net · Azure · BI
System Administrator,Egypt for Panel and Steel Industries S.A.E -,"6th of October, Giza, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · males_preferred · Installation/Maintenance/Repair · IT/Software Development · Computer Science · Information Technology (IT) · Software Development · LAN · MCSE · MCSA · networks · System Administration
System Administrator,Confidential -,"Cairo, Egypt ",Full TimeOn-site,Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Administrator · Computer Science · Engineering · Information Technology (IT) · system · System Administration · System administrator
