Job Title,Company Name,Location,Status,Skills Requirements
Backend developer,Net2Source Inc. -,"Dubai, United Arab Emirates ",Full Time,Full TimeEntry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · PHP · javaScript · Back-End
Systems Integrations Engineering Manager,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Project Management · Software Engineering · Software Development · Computer Engineering
Software Engineer III,Mozn -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · Software Testing · Software
Senior Platform Engineer,Network International -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering
Microservices Engineer,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Microservices · Software Engineering · Computer Engineering · Angular
Data warehouse and big data specialist,Emdad Al Khebrat -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · Administration · IT/Software Development · Engineering - Telecom/Technology · Data Entry · Administration · Microsoft Office · Admin · Computer Science · Computer Skills · Typing
Engineering Manager- Ceph & Distributed Storage,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · Engineering - Construction/Civil/Architecture · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Project Management · Civil Engineering · Mechanical Engineering · Information Technology (IT) · Computer Science · Management
Senior MLOps Engineer,Inception -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering
Lead Engineer - ML QA,Inception -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Development · Software Engineering · Computer Engineering · Sales
Senior Engineer - ML QA,Inception -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering
SCADA ENGINEER,KILONEWTONS -,"Dubai, United Arab Emirates ",Full Time,Full TimeExperienced · Installation/Maintenance/Repair · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · SCADA · Engineering · Electrical Engineering · PLC · Mechanical Engineering · Automation · Sales
Senior Backend Engineer - Home & Location,Imagine Foundation e.V. -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Computer Engineering · Mechanical Engineering
Cloud Professional Services Manager,Canonical -,"Riyadh, Saudi Arabia ",Full Time,Full TimeExperienced · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · customer service · sales · sales skills · information technology (it) · engineering · english · management
Trainee,Space42 -,"Dubai, United Arab Emirates ",Full Time,Full TimeStudent · Accounting/Finance · Administration · Human Resources · Recruitment · Accounting · Human Resources (HR) · Microsoft Office · Finance · Administration · Information Technology (IT)
Security Engineer - Ubuntu,Canonical -,"Makkah, Saudi Arabia ",Full Time,Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Security · Computer Engineering · Software Engineering · Networking
